ds,y
01/02/2018,9266.48
01/03/2018,10216.44
01/04/2018,5064.18
01/05/2018,9522.35
01/06/2018,10791.46
01/07/2018,3855.39
01/08/2018,10020.42
01/09/2018,6118.83
01/10/2018,4558.63
01/11/2018,6542.85
01/12/2018,9667.53
01/13/2018,12235.41
01/14/2018,4216.78
01/15/2018,8515.42
01/16/2018,3862.68
01/17/2018,3960.25
01/18/2018,3120.8
01/19/2018,7374.67
01/20/2018,10060.17
01/21/2018,4723.58
01/22/2018,3882.4
01/23/2018,9150.51
01/24/2018,5162.78
01/25/2018,10265.88
01/26/2018,5396.16
01/27/2018,8433.11
01/28/2018,4485.8
01/29/2018,7724.32
01/30/2018,12363.29
01/31/2018,8150.64
02/01/2018,3106.83
02/02/2018,8797.63
02/03/2018,7493.78
02/04/2018,4800.4
02/05/2018,4314.31
02/06/2018,3746.24
02/07/2018,3212.62
02/08/2018,7192.44
02/09/2018,5734.88
02/10/2018,10717.35
02/11/2018,3878.31
02/12/2018,5989.77
02/13/2018,3396.3
02/14/2018,6348.31
02/15/2018,3737.34
02/16/2018,4782.08
02/17/2018,9700.18
02/18/2018,7018.21
02/19/2018,5140.28
02/20/2018,4376.0
02/21/2018,5118.23
02/22/2018,5876.05
02/23/2018,5754.25
02/24/2018,33202.06
02/25/2018,12851.48
02/26/2018,4922.33
02/27/2018,11932.24
02/28/2018,3278.69
03/01/2018,5704.79
03/02/2018,7475.22
03/03/2018,7990.54
03/04/2018,4592.93
03/05/2018,7018.08
03/06/2018,5860.95
03/07/2018,4574.94
03/08/2018,14938.15
03/09/2018,7773.78
03/10/2018,13606.28
03/11/2018,6338.41
03/12/2018,7789.3
03/13/2018,9275.1
03/14/2018,7574.98
03/15/2018,5738.66
03/16/2018,11518.07
03/17/2018,10823.37
03/18/2018,5743.27
03/19/2018,5122.91
03/20/2018,6024.21
03/21/2018,5279.28
03/22/2018,8575.15
03/23/2018,6418.3
03/24/2018,10184.46
03/25/2018,9057.66
03/26/2018,6163.13
03/27/2018,2935.87
03/28/2018,3657.57
03/29/2018,6423.83
03/30/2018,12338.29
03/31/2018,13176.03
04/02/2018,5951.32
04/03/2018,4733.53
04/04/2018,7531.23
04/05/2018,4691.37
04/06/2018,9116.02
04/07/2018,11790.73
04/08/2018,2269.33
04/09/2018,3297.18
04/10/2018,6800.42
04/11/2018,4870.03
04/12/2018,4851.21
04/13/2018,10593.03
04/14/2018,9807.2
04/15/2018,3220.96
04/16/2018,9225.8
04/17/2018,10121.23
04/18/2018,5950.58
04/19/2018,4177.89
04/20/2018,8875.32
04/21/2018,7961.65
04/22/2018,3616.9
04/23/2018,7805.57
04/24/2018,12250.07
04/25/2018,2804.0
04/26/2018,3865.2
04/27/2018,5357.47
04/28/2018,6419.68
04/29/2018,4592.8
04/30/2018,10113.13
05/01/2018,5674.22
05/02/2018,5368.63
05/03/2018,3259.88
05/04/2018,6433.22
05/05/2018,10001.95
05/06/2018,3513.01
05/07/2018,5642.79
05/08/2018,4831.26
05/09/2018,8948.76
05/10/2018,6030.34
05/11/2018,5251.84
05/12/2018,7337.17
05/13/2018,3597.77
05/14/2018,5490.75
05/15/2018,11404.51
05/16/2018,10339.16
05/17/2018,6049.48
05/18/2018,18836.59
05/19/2018,9376.29
05/20/2018,5656.14
05/21/2018,7348.33
05/22/2018,10369.63
05/23/2018,5077.97
05/24/2018,10486.38
05/25/2018,7208.63
05/26/2018,7248.73
05/27/2018,4499.17
05/28/2018,9312.14
05/29/2018,7329.9
05/30/2018,6156.96
05/31/2018,7552.33
06/01/2018,8064.83
06/02/2018,8261.68
06/03/2018,6857.49
06/04/2018,6087.29
06/05/2018,5712.94
06/06/2018,6091.83
06/07/2018,5596.26
06/08/2018,7391.45
06/09/2018,6226.88
