Store Number,Item Category Code,Item Category Description,Total Quantity,Amount,Total Item Cost
201,&O,OTHER LOCAL COUPONS,"3,268.00","($17,260.00)",$0.00
201,AC,A/C SERVICE,56.00,"$1,679.44",$0.00
201,ADD,ADDITIVES,591.00,"$7,876.84","$5,810.17"
201,AF,AIR FILTERS,860.00,"$23,050.41","$4,005.94"
201,AFC,ANTIFREEZE/COOLANT,631.00,$0.00,"$2,499.29"
201,ATF,AUTO. TRANS. FLUID,985.00,$38.97,"$3,035.22"
201,ATS,AUTOMATIC TRANS SERVICE,99.00,"$14,119.01",$194.00
201,BAT,BATTERIES,58.85,"$8,336.18","$4,664.61"
201,BKF,BRAKE FLUSH,97.00,"$8,729.03",$0.00
201,BOC,BOTTLED OIL UPCHARGE,148.51,"$1,994.09",$0.00
201,BRK,BRAKE FLUID,97.00,$0.00,$873.00
201,BTS,BATTERY SERVICE,7.00,$139.93,$0.00
201,CAF,CABIN AIR FILTERS,487.00,"$19,601.13","$1,899.68"
201,CFC,CUSTOMER FILTER CREDIT,117.00,($146.25),$0.00
201,COC,CUSTOMER OIL CREDIT,122.00,($610.00),$0.00
201,COM,INVOICE COMMENTS,"10,931.00",$138.81,$48.00
201,DEF,DIESEL EXHAUST FLUID,6.00,$59.94,$28.14
201,EF,ENGINE FLUSH SERVICE,275.00,"$16,497.25",$0.00
201,EMC,STATE INSPECTIONS,"4,634.00","$109,558.00",$0.00
201,FDS,FRONT DIFFERENTIAL SVC,4.00,$279.96,$0.00
201,FF,FUEL FILTERS,48.00,"$5,289.53","$1,124.81"
201,FIC,FUEL INJECTOR ADDITIVE,145.00,"$1,359.32",$873.58
201,FIS,FUEL INJECTION SERVICE,77.00,"$6,379.23",$0.00
201,FRE,FREON,80.75,"$2,825.31",$238.12
201,FS,FULL SERVICES,"6,408.39","$186,740.71",$0.00
201,GO,GEAR OILS,220.00,$0.00,$622.10
201,HM,High Mileage Oil,335.00,"$4,690.00",$0.00
201,HR,HEADLIGHT RESTORATION,4.00,$199.95,$0.00
201,LB,LIGHT BULBS,107.00,"$1,708.84",$147.07
201,LR,LIGHT REPAIR,528.11,"$183,481.92","$38,434.16"
201,MIS,MISCELLANEOUS CHARGE,"1,253.00","$10,160.68","$2,908.17"
201,OF,OIL FILTERS,"6,702.00",$258.93,"$10,032.37"
201,OIL,ENGINE OIL,"34,793.23","$24,348.97","$60,459.49"
201,PMP,PREVENTATIVE MAINT.,"9,958.00",$0.00,$0.00
201,PS,POWER STEERING SVCS.,65.00,"$4,559.35",$0.00
201,PSF,POWER STEERING FLD,65.00,$0.00,$652.63
201,RC,RADIATOR CAPS,6.00,$85.94,$34.22
201,RDS,REAR DIFFERENTIAL SVC,42.00,"$2,939.58",$0.00
201,RS,RADIATOR SERVICES,218.00,"$17,437.82",$867.64
201,SB,SYNTHETIC BLEND,10.00,$150.00,$0.00
201,SSE,SHOP SUPPLY ENVIRONMENTAL,"7,211.00","$27,688.00",$0.00
201,SYN,SYNTHETIC OIL,"2,007.06","$57,187.92",$0.00
201,TCS,TRANSFER CASE SERVICE,5.80,$289.93,$0.00
201,TRS,TIRE SERVICES,66.80,"$1,336.00",$0.00
201,WB,WIPER BLADES,626.10,"$9,633.93","$2,337.20"
Total,,,"94,456.60","$742,834.60","$141,789.61"
