"Store 206:  Watauga, TX ISI Location # 2511"
Ticket Count,Total Oil Changes*,Gross$,Gross Tkt Avg,Promo$,Net$,Net Tkt Avg,Oil Changes* Per Day,Days Open
"40,651","25,239","$4,214,308",$103.81,"$109,437.12","$4,098,131",$100.94,37.39,675
Ticket Count,Base Ticket,Gross$,Gross Ticket Avg,Gross Over Base,COGS% Gross,Labor% Gross,COGS per Ticket,Labor hours per Ticket,Labor$ per Ticket,Gross Profit per Ticket
"40,651",$38.74,"$4,222,549",$103.87,$65.13,22.9%,24.1%,$23.77,1.27,$25.06,$55.04
Ticket Count,Base Ticket,Net$,Net Ticket Avg,Net Over Base,COGS% Net,Labor% Net,COGS per Ticket,Labor hours per Ticket,Labor$ per Ticket,Net Profit per Ticket
"40,651",$38.74,"$4,105,989",$101.01,$62.27,23.5%,24.8%,$23.77,1.27,$25.06,$52.18
Ticket Count,Repeat Tickets,Repeat%,New Tickets,New %,Tickets with Promo,Repeat Promo Count,New Promo Count,Promo$,Repeat Promo $,New Promo $
"40,598","26,935",66.3%,"13,663",33.7%,"5,003","3,701","1,302","$109,437.12","$93,784.29","$15,652.83"
Oil Type,Ticket Count,%FSOC*
Conventional Oil,"4,138",31.7%
Heavy Duty Conventional Oil,237,1.8%
Heavy Duty Synthetic Oil,276,2.1%
High Mileage Oil,655,5.0%
Semi-Synthetic Oil,"2,619",20.1%
Synthetic Oil,"5,128",39.3%
"Store 206:  Watauga, TX ISI Location # 2511"
Category,Description,Tickets,Total Qty,Gross $,%Tickets,% Oil Changes*
#W,WARRANTIES,277,278,$0.00,0.7%,2.1%
AC,A/C SERVICE,76,76,"$7,679.24",0.2%,0.6%
ADD,ADDITIVES,"17,669","29,170.5","$5,318.38",43.5%,135.4%
AF,AIR FILTERS,"3,047","3,117.99","$85,245.51",7.5%,23.4%
AFC,ANTIFREEZE/COOLANT,928,"9,270",$0.00,2.3%,7.1%
ALN,ALIGNMENT SERVICES,137,138,"$10,458.69",0.3%,1.1%
ATF,AUTO. TRANS. FLUID,732,"5,221.59",$539.40,1.8%,5.6%
ATS,AUTOMATIC TRANS SERVICE,521,520.77,"$73,998.40",1.3%,4.0%
BAT,BATTERIES,335,639,"$55,080.71",0.8%,2.6%
BCC,BATTERY CLEANING SERVICE,33,33,$659.67,0.1%,0.3%
BKF,BRAKE FLUSH,"1,134","1,133.8","$110,038.66",2.8%,8.7%
BKS,BRAKE FLUSH,423,424,"$38,155.76",1.0%,3.2%
BOC,BOTTLED OIL UPCHARGE,759,760.8,"$3,620.00",1.9%,5.8%
CF,CABIN AIR FILTER,"1,718","2,185.75","$64,907.84",4.2%,13.2%
CFC,CUSTOMER FILTER CREDIT,116,116,($232.00),0.3%,0.9%
COM,INVOICE COMMENTS,"15,639","24,676",$0.00,38.5%,119.9%
CON,CONVENTIONAL OIL,"9,020","31,031.93","$19,623.09",22.2%,69.1%
CW,CAR WASH SERVICES,"25,297","25,392","$5,720.00",62.3%,193.9%
DIS,DIESEL INJ. SERVICE,14,14,$349.99,0.0%,0.1%
DYE,ENGINE OIL DYE DIAGNOSTIC,1,1,$9.99,0.0%,0.0%
EDF,Unknown,"23,243","26,161","$92,265.00",57.3%,178.1%
