Date,Cost of Goods Sold Amount,Net Sales Amount,Store Ticket Count,Ticket Average Net,Cost of Goods as a Percent of Net Sales,Labor Percent of Net Sales
2020,283.89,1267.27,15.0,84.4847,0.224017,0.185414
,6902.63,33853.25,428.0,76.4182,0.203899,0.210408
,8286.39,38425.75,491.0,75.4926,0.215647,0.214329
,8171.12,37695.94,452.0,80.8926,0.216764,0.203221
,1969.34,9328.64,115.0,79.732,0.211107,0.21715
,6957.17,31956.09,426.0,73.2938,0.21771,0.206805
,4665.42,24014.51,369.0,63.5304,0.194275,0.268423
,4789.32,25480.44,380.0,66.183,0.187961,0.248899
,5208.38,24755.94,326.0,73.8983,0.210389,0.256611
,5450.62,25904.25,342.0,73.1758,0.210414,0.270637
,6861.48,33072.38,360.0,89.1439,0.207469,0.235405
,1498.89,9073.74,112.0,78.2219,0.16519,0.226181
,5149.94,25879.24,328.0,76.793,0.198999,0.233277
,4641.96,23409.51,323.0,71.3705,0.198294,0.27799
,5778.26,23972.25,283.0,82.0967,0.24104,0.265762
,5392.86,24911.62,241.0,100.4501,0.21648,0.235297
,5663.49,27361.57,345.0,75.1691,0.206987,0.26752
,8607.9,38019.81,401.0,91.3938,0.226406,0.209635
,2206.9,9962.87,118.0,82.3378,0.221512,0.20854
,6939.76,31973.03,412.0,74.5292,0.21705,0.199605
,6118.58,26311.37,333.0,75.6074,0.232545,0.247245
,3868.12,18410.7,225.0,79.0159,0.210102,0.322977
,5245.54,22461.81,283.0,76.1417,0.233531,0.266449
,7985.28,36271.17,453.0,77.3372,0.220155,0.22069
,8566.05,39234.81,419.0,89.9881,0.218328,0.211051
,1734.52,8691.44,130.0,64.381,0.199566,0.217692
,6051.36,26776.59,359.0,72.3692,0.225994,0.258575
,4413.75,22084.93,270.0,78.3154,0.199853,0.274425
,5436.07,25658.21,296.0,84.402,0.211865,0.260524
,4382.48,24344.84,308.0,77.2852,0.180017,0.268224
,6616.49,32118.91,416.0,74.8693,0.206,0.238046
,7897.31,36462.97,451.0,79.0954,0.216584,0.22493
,2305.12,10806.25,124.0,85.7639,0.213314,0.207944
,6277.98,31429.32,391.0,78.5733,0.199749,0.197756
,5495.97,25123.8,296.0,80.7839,0.218756,0.248199
,6084.25,23395.06,228.0,96.6738,0.260066,0.254992
,7615.36,29759.99,300.0,95.6913,0.255893,0.232459
,7675.43,36772.54,427.0,83.7643,0.208727,0.226645
,8387.51,39159.86,457.0,82.4418,0.214186,0.219342
,1905.56,9313.15,114.0,80.2858,0.20461,0.225516
,5874.82,26692.33,303.0,85.0074,0.220094,0.235503
,4455.47,21318.65,223.0,91.4964,0.208994,0.290208
,5171.33,22109.58,255.0,82.4984,0.233895,0.275534
,5936.39,25440.22,279.0,87.124,0.233347,0.258351
,7392.88,31883.38,341.0,90.066,0.231873,0.229055
,9927.54,44139.45,433.0,97.8702,0.224913,0.196368
,2270.36,11346.73,132.0,82.2227,0.200089,0.216945
,7664.63,35413.11,411.0,84.1167,0.216435,0.18768
,5588.48,24954.38,284.0,85.4602,0.223948,0.244011
,5765.9,23652.02,256.0,85.3864,0.24378,0.261393
,4983.98,24171.75,279.0,83.6393,0.20619,0.251527
,7704.71,37112.24,444.0,79.64,0.207606,0.215912
,8269.8,36620.45,468.0,76.7724,0.225825,0.234328
,1697.75,8378.36,118.0,69.8197,0.202635,0.311282
,5506.38,29051.25,368.0,77.264,0.18954,0.225314
,5845.01,28473.89,337.0,81.354,0.205276,0.219108
,7272.1,31175.09,336.0,88.5656,0.233266,0.23157
,4951.26,25717.9,370.0,67.3243,0.192522,0.246961
,8918.57,39673.39,475.0,82.1395,0.2248,0.204573
,8808.02,44671.49,527.0,81.8159,0.197173,0.193233
,2325.35,11286.5,154.0,71.8885,0.206029,0.197052
,6709.25,31930.78,412.0,75.8451,0.210119,0.210282
,6241.49,27447.63,364.0,72.4212,0.227396,0.215923
,6663.0,29137.37,281.0,100.1284,0.228675,0.228954
,6532.93,29606.66,375.0,76.7012,0.220657,0.235724
,6829.26,35201.37,447.0,76.6914,0.194006,0.230571
,8773.96,41574.7,456.0,87.8958,0.211041,0.218549
,2504.72,11129.56,124.0,87.6343,0.225051,0.230258
,6847.7,31700.48,369.0,84.0862,0.216013,0.225632
,4703.4,24198.7,358.0,66.2978,0.194366,0.262818
,7986.17,33182.06,334.0,93.7346,0.240677,0.222062
,5879.28,28012.54,303.0,86.4585,0.20988,0.249071
,6107.62,29441.61,368.0,77.2746,0.207449,0.257755
,5921.69,27167.39,329.0,78.7461,0.217971,0.295607
,1480.57,7075.72,90.0,78.6191,0.209247,0.280534
,6811.27,26434.41,280.0,89.3054,0.257667,0.225513
,4139.13,19722.6,237.0,79.5266,0.209867,0.249809
,3052.63,16124.69,226.0,69.8039,0.189314,0.335517
,3564.39,20025.7,222.0,87.4485,0.177991,0.242584
,3336.27,15159.81,200.0,73.9503,0.220073,0.324102
,5277.61,22063.9,249.0,83.5754,0.239197,0.266799
