Store Number,Date,Gross Amount,Net Amount,Store Ticket Net Amount,Warranty Amount,Average Included Bay Time,Store Ticket Count,Store Ticket Average Net,Promotion Amount
207,01/02/2019,"$3,515.97","$3,505.97","$3,449.01",$0.00,0.0,63,$54.75,$10.00
,01/03/2019,"$5,758.93","$5,708.43","$5,694.43",$0.00,0.0,88,$64.71,$50.50
,01/04/2019,"$5,416.13","$5,386.13","$5,358.13",$0.00,0.0,106,$50.55,$30.00
,01/05/2019,"$4,815.44","$4,805.44","$4,791.44",$0.00,0.0,82,$58.43,$10.00
,01/07/2019,"$4,782.72","$4,757.72","$4,750.72",$0.00,0.0,87,$54.61,$25.00
,01/08/2019,"$5,222.10","$5,161.60","$5,092.63",$0.00,0.0,84,$60.63,$60.50
,01/09/2019,"$4,114.51","$4,099.01","$4,085.01",$0.00,0.0,66,$61.89,$15.50
,01/10/2019,"$4,523.01","$4,489.01","$4,489.01",$0.00,18.0,71,$63.23,$34.00
,01/11/2019,"$4,300.75","$4,290.75","$4,233.77",$0.00,0.0,79,$53.59,$10.00
,01/12/2019,"$5,691.93","$5,676.43","$5,676.43",$0.00,0.0,87,$65.25,$15.50
,01/14/2019,"$4,900.26","$4,870.26","$4,856.26",$0.00,0.0,72,$67.45,$30.00
,01/15/2019,"$4,845.69","$4,778.19","$4,764.19",$0.00,0.0,75,$63.52,$67.50
,01/16/2019,"$3,877.69","$3,862.69","$3,855.69",$0.00,0.0,63,$61.20,$15.00
,01/17/2019,"$3,328.68","$3,328.68","$3,321.68",$0.00,0.0,49,$67.79,$0.00
,01/18/2019,"$5,311.01","$5,275.51","$5,261.51",$0.00,0.0,86,$61.18,$35.50
,01/19/2019,"$5,182.56","$5,107.06","$5,075.08",$0.00,0.0,75,$67.67,$75.50
,01/21/2019,"$4,279.02","$4,269.02","$4,263.03",$0.00,0.0,63,$67.67,$10.00
,01/22/2019,"$3,774.30","$3,753.80","$3,746.80",$0.00,0.0,58,$64.60,$20.50
,01/23/2019,"$3,777.16","$3,772.16","$3,758.16",$0.00,0.0,61,$61.61,$5.00
,01/24/2019,"$4,226.63","$4,216.13","$4,195.13",$0.00,0.0,64,$65.55,$10.50
,01/25/2019,"$4,494.76","$4,468.76","$4,348.82",$0.00,0.0,70,$62.13,$26.00
,01/26/2019,"$5,464.24","$5,429.24","$5,386.26",$0.00,0.0,84,$64.12,$35.00
,01/28/2019,"$5,113.47","$5,088.47","$5,067.47",$0.00,0.0,81,$62.56,$25.00
,01/29/2019,"$3,677.87","$3,663.87","$3,642.87",$0.00,0.0,60,$60.71,$14.00
,01/30/2019,"$4,094.09","$4,048.09","$4,048.09",$0.00,0.0,64,$63.25,$46.00
,01/31/2019,"$3,357.97","$3,322.47","$3,263.51",$0.00,0.0,56,$58.28,$35.50
,02/01/2019,"$3,452.40","$3,397.40","$3,383.40",$0.00,0.0,54,$62.66,$55.00
,02/02/2019,"$5,860.42","$5,840.42","$5,826.42",$0.00,0.0,86,$67.75,$20.00
,02/04/2019,"$4,535.61","$4,525.61","$4,518.61",$0.00,4.0,74,$61.06,$10.00
,02/05/2019,"$3,011.13","$2,981.13","$2,967.13",$0.00,0.0,50,$59.34,$30.00
,02/06/2019,"$2,538.33","$2,538.33","$2,517.33",$0.00,0.0,49,$51.37,$0.00
,02/07/2019,"$2,906.26","$2,876.26","$2,869.26",$0.00,0.0,50,$57.39,$30.00
,02/08/2019,"$4,675.63","$4,630.63","$4,564.65",$0.00,0.0,69,$66.15,$45.00
,02/09/2019,"$3,809.13","$3,782.13","$3,735.15",$0.00,0.0,62,$60.24,$27.00
,02/11/2019,"$3,795.49","$3,776.99","$3,755.99",$0.00,0.0,47,$79.91,$18.50
,02/12/2019,"$3,357.97","$3,322.97","$3,308.97",$0.00,0.0,57,$58.05,$35.00
,02/13/2019,"$4,266.19","$4,241.19","$4,151.24",$0.00,0.0,66,$62.90,$25.00
,02/14/2019,"$2,941.71","$2,926.21","$2,919.21",$0.00,0.0,51,$57.24,$15.50
,02/15/2019,"$5,501.52","$5,461.02","$5,433.02",$0.00,0.0,86,$63.17,$40.50
,02/16/2019,"$4,620.60","$4,590.60","$4,493.60",$0.00,0.0,74,$60.72,$30.00
,02/18/2019,"$5,232.50","$5,222.50","$5,208.50",$0.00,0.0,85,$61.28,$10.00
,02/19/2019,"$3,596.22","$3,550.72","$3,515.74",$0.00,0.0,46,$76.43,$45.50
,02/20/2019,"$4,479.37","$4,469.37","$4,469.37",$0.00,0.0,70,$63.85,$10.00
,02/21/2019,"$3,529.22","$3,529.22","$3,522.22",$0.00,0.0,60,$58.70,$0.00
,02/22/2019,"$5,254.34","$5,176.85","$5,176.85",$0.00,0.0,80,$64.71,$77.49
,02/23/2019,"$6,259.64","$6,227.64","$6,213.64",$0.00,0.0,107,$58.07,$32.00
,02/25/2019,"$5,032.10","$5,012.10","$5,005.10",$0.00,0.0,78,$64.17,$20.00
,02/26/2019,"$4,322.67","$4,286.67","$4,241.69",$0.00,0.0,70,$60.60,$36.00
,02/27/2019,"$3,655.30","$3,655.30","$3,629.32",$0.00,0.0,69,$52.60,$0.00
,02/28/2019,"$4,092.13","$4,067.13","$4,053.13",$0.00,0.0,69,$58.74,$25.00
,03/01/2019,"$5,829.34","$5,782.84","$5,747.84",$0.00,0.0,94,$61.15,$46.50
,03/02/2019,"$6,090.47","$6,059.47","$6,024.47",$0.00,0.0,94,$64.09,$31.00
,03/04/2019,"$4,273.60","$4,273.60","$4,225.61",$0.00,0.0,68,$62.14,$0.00
,03/05/2019,"$4,965.93","$4,960.93","$4,929.95",$0.00,0.0,76,$64.87,$5.00
,03/06/2019,"$3,234.32","$3,213.32","$3,213.32",$0.00,0.0,56,$57.38,$21.00
,03/07/2019,"$4,241.22","$4,216.22","$4,164.22",$0.00,0.0,65,$64.06,$25.00
,03/08/2019,"$5,280.33","$5,274.83","$5,267.83",$0.00,0.0,85,$61.97,$5.50
,03/09/2019,"$6,085.86","$6,058.36","$6,051.36",$0.00,0.0,93,$65.07,$27.50
,03/11/2019,"$5,131.31","$5,101.31","$5,087.31",$0.00,0.0,83,$61.29,$30.00
,03/12/2019,"$3,994.66","$3,969.66","$3,955.66",$0.00,0.0,64,$61.81,$25.00
,03/13/2019,"$3,876.93","$3,861.93","$3,861.93",$0.00,0.0,74,$52.19,$15.00
,03/14/2019,"$5,327.78","$5,292.78","$5,292.78",$0.00,0.0,75,$70.57,$35.00
,03/15/2019,"$5,176.10","$5,161.10","$5,133.10",$0.00,0.0,86,$59.69,$15.00
,03/16/2019,"$4,732.82","$4,707.82","$4,707.82",$0.00,0.0,74,$63.62,$25.00
,03/18/2019,"$5,163.77","$5,128.77","$5,114.77",$0.00,0.0,78,$65.57,$35.00
,03/19/2019,"$3,611.15","$3,581.15","$3,567.15",$0.00,0.0,54,$66.06,$30.00
,03/20/2019,"$3,939.41","$3,921.41","$3,921.41",$0.00,0.0,57,$68.80,$18.00
,03/21/2019,"$4,106.19","$4,061.19","$4,040.19",$0.00,0.0,72,$56.11,$45.00
,03/22/2019,"$4,826.83","$4,799.83","$4,785.83",$0.00,0.0,80,$59.82,$27.00
,03/23/2019,"$5,961.68","$5,926.68","$5,926.68",$0.00,0.0,89,$66.59,$35.00
,03/25/2019,"$3,587.06","$3,560.06","$3,553.06",$0.00,0.0,72,$49.35,$27.00
,03/26/2019,"$4,095.44","$4,040.44","$4,019.44",$0.00,0.0,61,$65.89,$55.00
,03/27/2019,"$4,499.32","$4,488.82","$4,453.82",$0.00,0.0,68,$65.50,$10.50
,03/28/2019,"$3,516.77","$3,491.77","$3,484.77",$0.00,0.0,50,$69.70,$25.00
,03/29/2019,"$4,489.95","$4,464.95","$4,432.97",$0.00,28.0,77,$57.57,$25.00
,03/30/2019,"$5,271.21","$5,225.21","$5,225.21",$0.00,0.0,91,$57.42,$46.00
,04/01/2019,"$5,138.12","$5,106.62","$5,099.62",$0.00,0.0,100,$51.00,$31.50
,04/02/2019,"$4,183.15","$4,158.15","$4,137.15",$0.00,0.0,66,$62.68,$25.00
,04/03/2019,"$3,988.48","$3,934.98","$3,899.98",$0.00,0.0,70,$55.71,$53.50
,04/04/2019,"$4,172.15","$4,147.15","$4,118.17",$0.00,0.0,69,$59.68,$25.00
,04/05/2019,"$4,229.08","$4,209.08","$4,195.08",$0.00,0.0,72,$58.27,$20.00
,04/06/2019,"$3,707.19","$3,692.19","$3,685.19",$0.00,1.0,58,$63.54,$15.00
,04/08/2019,"$4,586.44","$4,576.44","$4,562.44",$0.00,0.0,81,$56.33,$10.00
,04/09/2019,"$4,592.89","$4,577.89","$4,577.89",$0.00,0.0,74,$61.86,$15.00
,04/10/2019,"$4,413.67","$4,398.67","$4,379.42",$0.00,0.0,71,$61.68,$15.00
,04/11/2019,"$2,674.49","$2,674.49","$2,667.49",$0.00,0.0,45,$59.28,$0.00
,04/12/2019,"$4,800.91","$4,780.41","$4,724.43",$0.00,0.0,67,$70.51,$20.50
,04/13/2019,"$3,573.03","$3,555.53","$3,555.53",$0.00,0.0,52,$68.38,$17.50
,04/15/2019,"$3,394.97","$3,379.97","$3,358.97",$0.00,0.0,54,$62.20,$15.00
,04/16/2019,"$3,836.61","$3,801.61","$3,794.61",$0.00,0.0,64,$59.29,$35.00
,04/17/2019,"$2,819.37","$2,813.87","$2,813.87",$0.00,0.0,51,$55.17,$5.50
,04/18/2019,"$4,848.26","$4,797.76","$4,776.76",$0.00,0.0,65,$73.49,$50.50
,04/19/2019,"$5,600.73","$5,563.23","$5,563.23",$0.00,0.0,85,$65.45,$37.50
,04/20/2019,"$4,797.09","$4,739.59","$4,725.59",$0.00,0.0,66,$71.60,$57.50
,04/22/2019,"$5,333.06","$5,292.56","$5,234.58",$0.00,0.0,84,$62.32,$40.50
,04/23/2019,"$3,620.89","$3,605.39","$3,584.39",$0.00,0.0,65,$55.14,$15.50
,04/24/2019,"$4,115.92","$4,105.42","$4,098.42",$0.00,0.0,63,$65.05,$10.50
,04/25/2019,"$4,671.75","$4,661.75","$4,640.75",$0.00,0.0,71,$65.36,$10.00
,04/26/2019,"$4,841.19","$4,841.19","$4,713.24",$0.00,0.0,71,$66.38,$0.00
,04/27/2019,"$4,838.69","$4,833.69","$4,826.69",$0.00,0.0,72,$67.04,$5.00
,04/29/2019,"$4,820.25","$4,805.25","$4,739.25",$0.00,0.0,87,$54.47,$15.00
,04/30/2019,"$5,400.36","$5,369.86","$5,355.86",$0.00,0.0,96,$55.79,$30.50
,05/01/2019,"$4,517.29","$4,481.29","$4,474.29",$0.00,0.0,78,$57.36,$36.00
,05/02/2019,"$3,850.99","$3,830.99","$3,823.99",$0.00,0.0,63,$60.70,$20.00
,05/03/2019,"$5,319.16","$5,271.66","$5,257.66",$0.00,0.0,86,$61.14,$47.50
,05/04/2019,"$6,500.82","$6,470.82","$6,470.82",$0.00,0.0,100,$64.71,$30.00
,05/06/2019,"$5,465.28","$5,440.28","$5,419.28",$0.00,0.0,91,$59.55,$25.00
,05/07/2019,"$5,078.99","$5,043.49","$4,995.51",$0.00,0.0,77,$64.88,$35.50
,05/08/2019,"$1,958.12","$1,942.62","$1,935.62",$0.00,0.0,33,$58.66,$15.50
,05/09/2019,"$3,894.47","$3,868.97","$3,854.97",$0.00,0.0,63,$61.19,$25.50
,05/10/2019,"$3,478.27","$3,478.27","$3,464.27",$0.00,0.0,63,$54.99,$0.00
,05/11/2019,"$4,487.74","$4,467.24","$4,429.26",$0.00,0.0,68,$65.14,$20.50
,05/13/2019,"$4,366.34","$4,361.34","$4,318.36",$0.00,0.0,71,$60.82,$5.00
,05/14/2019,"$4,026.69","$3,997.69","$3,983.69",$0.00,0.0,58,$68.68,$29.00
,05/15/2019,"$4,154.91","$4,129.91","$4,122.91",$0.00,0.0,64,$64.42,$25.00
,05/16/2019,"$4,438.64","$4,402.64","$4,374.64",$0.00,0.0,65,$67.30,$36.00
,05/17/2019,"$4,984.26","$4,958.76","$4,944.76",$0.00,0.0,84,$58.87,$25.50
,05/18/2019,"$3,326.16","$3,305.16","$3,256.18",$0.00,0.0,45,$72.36,$21.00
,05/20/2019,"$4,217.24","$4,202.24","$4,174.24",$0.00,0.0,71,$58.79,$15.00
,05/21/2019,"$4,095.74","$4,060.24","$4,046.24",$0.00,0.0,63,$64.23,$35.50
,05/22/2019,"$3,803.98","$3,803.98","$3,789.98",$0.00,0.0,60,$63.17,$0.00
,05/23/2019,"$4,465.77","$4,450.77","$4,443.77",$0.00,0.0,73,$60.87,$15.00
,05/24/2019,"$5,208.83","$5,198.83","$5,170.83",$0.00,0.0,76,$68.04,$10.00
,05/25/2019,"$5,956.97","$5,919.97","$5,912.97",$0.00,0.0,87,$67.97,$37.00
,05/28/2019,"$5,031.35","$5,026.35","$4,998.35",$0.00,2.0,95,$52.61,$5.00
,05/29/2019,"$4,654.61","$4,586.11","$4,572.11",$0.00,0.0,73,$62.63,$68.50
,05/30/2019,"$4,828.24","$4,823.24","$4,816.24",$0.00,0.0,90,$53.51,$5.00
,05/31/2019,"$5,709.11","$5,691.11","$5,663.11",$0.00,0.0,114,$49.68,$18.00
,06/01/2019,"$4,875.85","$4,860.35","$4,825.35",$0.00,0.0,83,$58.14,$15.50
,06/03/2019,"$5,465.76","$5,450.76","$5,436.76",$0.00,0.0,100,$54.37,$15.00
