Store Number,Date,Gross Amount,Net Amount,Store Ticket Net Amount,Warranty Amount,Average Included Bay Time,Store Ticket Count,Store Ticket Average Net,Promotion Amount
10,01/01/2018,$453.26,$453.26,$453.26,$0.00,21.1,8,$56.66,$0.00
,01/02/2018,"$1,331.58","$1,331.58","$1,331.58",$0.00,13.8,19,$70.08,$0.00
,01/03/2018,"$1,574.35","$1,574.35","$1,574.35",$0.00,13.9,27,$58.31,$0.00
,01/04/2018,"$1,907.33","$1,907.33","$1,907.33",$0.00,18.7,27,$70.64,$0.00
,01/05/2018,"$2,748.98","$2,748.98","$2,748.98",$0.00,16.0,40,$68.72,$0.00
,01/06/2018,"$3,354.16","$3,354.16","$3,354.16",$0.00,16.3,43,$78.00,$0.00
,01/07/2018,"$1,430.15","$1,430.15","$1,430.15",$0.00,16.8,19,$75.27,$0.00
,01/08/2018,"$1,523.94","$1,523.94","$1,523.94",$0.00,14.2,27,$56.44,$0.00
,01/09/2018,"$1,369.57","$1,369.57","$1,369.57",$0.00,16.4,25,$54.78,$0.00
,01/10/2018,"$1,427.46","$1,427.46","$1,427.46",$0.00,13.8,20,$71.37,$0.00
,01/11/2018,"$1,971.96","$1,971.96","$1,971.96",$0.00,19.1,28,$70.43,$0.00
,01/12/2018,"$2,139.29","$2,139.29","$2,139.29",$0.00,17.5,33,$64.83,$0.00
,01/13/2018,"$3,862.08","$3,862.08","$3,862.08",$0.00,18.0,47,$82.17,$0.00
,01/14/2018,"$2,349.74","$2,349.74","$2,349.74",$0.00,17.9,27,$87.03,$0.00
,01/15/2018,"$2,919.06","$2,919.06","$2,919.06",$0.00,17.2,39,$74.85,$0.00
,01/16/2018,$91.99,$91.99,$91.99,$0.00,5.0,1,$91.99,$0.00
,01/17/2018,$840.88,$840.88,$840.88,$0.00,14.8,10,$84.09,$0.00
,01/18/2018,"$1,161.54","$1,161.54","$1,161.54",$0.00,12.9,19,$61.13,$0.00
,01/19/2018,"$1,412.59","$1,412.59","$1,412.59",$0.00,13.3,24,$58.86,$0.00
,01/20/2018,"$3,259.35","$3,259.35","$3,259.35",$0.00,17.2,53,$61.50,$0.00
,01/21/2018,"$2,395.32","$2,395.32","$2,395.32",$0.00,15.7,25,$95.81,$0.00
,01/22/2018,"$2,080.52","$2,080.52","$2,080.52",$0.00,14.4,31,$67.11,$0.00
,01/23/2018,"$2,066.28","$2,066.28","$2,056.33",$0.00,15.6,30,$68.54,$0.00
,01/24/2018,"$2,957.88","$2,957.88","$2,957.88",$0.00,17.6,37,$79.94,$0.00
,01/25/2018,"$2,354.64","$2,354.64","$2,354.64",$0.00,16.0,30,$78.49,$0.00
,01/26/2018,"$1,658.77","$1,658.77","$1,658.77",$0.00,14.2,26,$63.80,$0.00
,01/27/2018,"$2,351.80","$2,351.80","$2,351.80",$0.00,15.7,32,$73.49,$0.00
,01/28/2018,"$1,779.80","$1,779.80","$1,779.80",$0.00,17.7,25,$71.19,$0.00
,01/29/2018,"$1,918.03","$1,918.03","$1,918.03",$0.00,14.5,30,$63.93,$0.00
,01/30/2018,"$2,140.90","$2,140.90","$2,140.90",$0.00,17.7,32,$66.90,$0.00
,01/31/2018,"$2,083.67","$2,083.67","$2,083.67",$0.00,15.0,32,$65.11,$0.00
,02/01/2018,"$1,468.70","$1,468.70","$1,468.70",$0.00,14.0,22,$66.76,$0.00
,02/02/2018,"$2,115.69","$2,115.69","$2,115.69",$0.00,16.7,28,$75.56,$0.00
,02/03/2018,"$3,418.28","$3,418.28","$3,418.28",$0.00,16.0,42,$81.39,$0.00
,02/04/2018,"$2,286.99","$2,286.99","$2,286.99",$0.00,18.3,30,$76.23,$0.00
,02/05/2018,"$1,712.32","$1,712.32","$1,712.32",$0.00,13.6,26,$65.86,$0.00
