Date,Net Amount,Store Ticket Count
2017-01-02,7453,95
2017-01-03,6339,66
2017-01-04,6284,48
2017-01-05,5364,58
2017-01-06,4361,47
2017-01-07,8278,68
2017-01-08,4052,34
2017-01-09,6807,65
2017-01-10,9293,60
2017-01-11,4794,59
2017-01-12,5793,54
2017-01-13,3095,55
2017-01-14,4447,57
2017-01-15,3441,32
2017-01-16,9271,65
2017-01-17,12485,56
2017-01-18,4219,34
2017-01-19,2021,34
2017-01-20,5864,54
2017-01-21,10359,90
2017-01-22,3896,49
2017-01-23,5402,56
2017-01-24,7094,50
2017-01-25,6923,51
2017-01-26,5676,38
2017-01-27,7502,78
2017-01-28,7708,105
2017-01-29,3691,69
2017-01-30,7928,71
2017-01-31,9962,54
2017-02-01,8392,56
2017-02-02,7421,54
2017-02-03,10137,55
2017-02-04,5228,72
2017-02-05,2813,51
2017-02-06,4107,54
2017-02-07,5069,60
2017-02-08,9385,56
2017-02-09,4390,39
2017-02-10,6775,82
2017-02-11,10791,89
2017-02-12,3566,50
2017-02-13,6375,60
2017-02-14,4543,34
2017-02-15,3853,45
2017-02-16,3789,40
2017-02-17,10633,83
2017-02-18,6772,68
2017-02-19,4443,48
2017-02-20,6133,55
2017-02-21,5740,69
2017-02-22,4428,57
2017-02-23,9668,62
2017-02-24,8027,67
2017-02-25,9272,92
2017-02-26,3529,62
2017-02-27,7232,66
2017-02-28,4486,51
2017-03-01,6575,77
2017-03-02,3475,60
2017-03-03,7385,70
2017-03-04,11612,88
2017-03-05,4144,47
2017-03-06,5115,56
2017-03-07,4817,57
2017-03-08,8075,60
2017-03-09,6511,55
2017-03-10,9999,68
2017-03-11,9405,74
2017-03-12,9292,58
2017-03-13,11931,71
2017-03-14,5520,61
2017-03-15,7573,73
2017-03-16,9246,66
2017-03-17,8101,90
2017-03-18,5396,73
2017-03-19,4624,68
2017-03-20,4963,55
2017-03-21,4625,59
2017-03-22,4793,61
2017-03-23,6036,50
2017-03-24,10521,74
2017-03-25,9402,87
2017-03-26,4828,52
2017-03-27,6351,65
2017-03-28,5015,44
2017-03-29,2047,29
2017-03-30,4854,55
2017-03-31,14343,79
2017-04-01,5863,71
2017-04-02,1586,33
2017-04-03,6971,69
2017-04-04,2995,43
2017-04-05,8262,47
2017-04-06,5467,58
2017-04-07,8415,81
2017-04-08,8240,78
2017-04-09,4467,48
2017-04-10,4010,43
2017-04-11,4738,45
2017-04-12,6167,55
2017-04-13,4044,59
2017-04-14,8888,80
2017-04-15,8049,77
2017-04-17,7040,67
2017-04-18,4997,56
2017-04-19,2919,44
2017-04-20,4586,52
